TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
UTA,UTA @ DAL,2022-03-27,L,36,79,32,68,0.47058823529411764,11,26,0.4230769230769231,4,8,0.5,6,20,26,19,4,5,0,19,-11,0
PHX,PHX vs. PHI,2022-03-27,W,36,91,36,66,0.5454545454545454,10,19,0.5263157894736842,9,13,0.6923076923076923,5,24,29,19,9,3,3,18,5,1
PHI,PHI @ PHX,2022-03-27,L,36,86,31,67,0.4626865671641791,8,26,0.3076923076923077,16,22,0.7272727272727273,9,22,31,17,8,3,2,15,-5,0
NYK,NYK @ DET,2022-03-27,W,36,80,25,66,0.3787878787878788,10,34,0.29411764705882354,20,25,0.8,10,28,38,15,10,7,4,11,1,0
NOP,NOP vs. LAL,2022-03-27,W,36,90,35,72,0.4861111111111111,8,22,0.36363636363636365,12,14,0.8571428571428571,9,18,27,21,7,8,1,10,-4,1
MIN,MIN @ BOS,2022-03-27,L,36,80,32,65,0.49230769230769234,9,24,0.375,7,10,0.7,3,18,21,19,11,7,3,17,-26,0
LAL,LAL @ NOP,2022-03-27,L,36,94,36,59,0.6101694915254238,13,24,0.5416666666666666,9,14,0.6428571428571429,5,25,30,24,13,5,2,13,4,0
GSW,GSW @ WAS,2022-03-27,L,36,81,25,60,0.4166666666666667,7,25,0.28,24,28,0.8571428571428571,8,24,32,15,8,4,2,14,-11,0
DET,DET vs. NYK,2022-03-27,L,36,79,30,62,0.4838709677419355,6,20,0.3,13,15,0.8666666666666667,6,22,28,19,8,6,4,16,-1,1
DAL,DAL vs. UTA,2022-03-27,W,36,90,30,55,0.5454545454545454,13,23,0.5652173913043478,17,22,0.7727272727272727,7,27,34,14,9,2,1,9,11,1
CHA,CHA @ BKN,2022-03-27,W,36,93,33,77,0.42857142857142855,12,23,0.5217391304347826,15,19,0.7894736842105263,12,27,39,20,8,6,1,17,4,0
BOS,BOS vs. MIN,2022-03-27,W,36,106,40,70,0.5714285714285714,12,30,0.4,14,15,0.9333333333333333,9,29,38,19,11,7,5,15,26,1
BKN,BKN vs. CHA,2022-03-27,L,36,89,35,74,0.47297297297297297,6,28,0.21428571428571427,13,22,0.5909090909090909,11,29,40,27,9,5,9,16,-4,1
TOR,TOR vs. IND,2022-03-26,W,36,96,39,65,0.6,10,21,0.47619047619047616,8,12,0.6666666666666666,5,26,31,25,3,8,1,12,26,1
SAS,SAS @ NOP,2022-03-26,W,36,84,30,68,0.4411764705882353,5,17,0.29411764705882354,19,22,0.8636363636363636,12,25,37,14,8,4,3,13,0,0
SAC,SAC @ ORL,2022-03-26,W,36,81,29,67,0.43283582089552236,8,24,0.3333333333333333,15,18,0.8333333333333334,11,27,38,18,11,3,4,10,-3,0
POR,POR vs. HOU,2022-03-26,L,36,78,30,67,0.44776119402985076,9,27,0.3333333333333333,9,11,0.8181818181818182,13,25,38,17,18,10,3,14,-7,1
ORL,ORL vs. SAC,2022-03-26,L,36,84,34,77,0.44155844155844154,10,24,0.4166666666666667,6,6,1.0,12,29,41,20,8,7,3,15,3,1
OKC,OKC @ DEN,2022-03-26,L,36,76,28,65,0.4307692307692308,10,27,0.37037037037037035,10,11,0.9090909090909091,3,24,27,20,13,6,5,14,-11,0
NOP,NOP vs. SAS,2022-03-26,L,36,84,32,68,0.47058823529411764,9,27,0.3333333333333333,11,16,0.6875,9,21,30,18,6,2,8,15,0,1
MIL,MIL @ MEM,2022-03-26,L,36,79,30,76,0.39473684210526316,6,25,0.24,13,17,0.7647058823529411,12,25,37,15,9,3,6,17,-19,0
MIA,MIA vs. BKN,2022-03-26,L,36,68,23,57,0.40350877192982454,6,28,0.21428571428571427,16,23,0.6956521739130435,6,23,29,12,19,7,4,20,-28,1
MEM,MEM vs. MIL,2022-03-26,W,36,98,36,77,0.4675324675324675,12,28,0.42857142857142855,14,18,0.7777777777777778,12,31,43,21,5,6,8,13,19,1
IND,IND @ TOR,2022-03-26,L,36,70,27,63,0.42857142857142855,9,32,0.28125,7,12,0.5833333333333334,8,22,30,19,11,2,3,10,-26,0
HOU,HOU @ POR,2022-03-26,W,36,85,33,64,0.515625,11,29,0.3793103448275862,8,11,0.7272727272727273,6,22,28,24,16,8,4,11,7,0
DEN,DEN vs. OKC,2022-03-26,W,36,87,33,68,0.4852941176470588,7,25,0.28,14,15,0.9333333333333333,9,31,40,26,13,8,4,14,11,1
CLE,CLE vs. CHI,2022-03-26,L,36,63,23,63,0.36507936507936506,4,25,0.16,13,18,0.7222222222222222,13,26,39,12,11,5,3,18,-12,1
CHI,CHI @ CLE,2022-03-26,W,36,75,27,61,0.4426229508196721,5,19,0.2631578947368421,16,17,0.9411764705882353,6,25,31,19,9,5,1,14,12,0
BKN,BKN @ MIA,2022-03-26,W,36,96,34,64,0.53125,7,19,0.3684210526315789,21,26,0.8076923076923077,9,21,30,21,10,12,3,16,28,0
WAS,WAS @ DET,2022-03-25,W,36,79,29,64,0.453125,7,24,0.2916666666666667,14,16,0.875,4,30,34,18,12,5,4,11,9,0
UTA,UTA @ CHA,2022-03-25,L,36,78,29,63,0.4603174603174603,14,37,0.3783783783783784,6,9,0.6666666666666666,6,21,27,19,6,6,1,9,1,0
POR,POR vs. HOU,2022-03-25,L,36,82,35,69,0.5072463768115942,3,16,0.1875,9,13,0.6923076923076923,10,21,31,24,11,5,3,15,-14,1
PHI,PHI @ LAC,2022-03-25,W,36,93,30,69,0.43478260869565216,12,27,0.4444444444444444,21,24,0.875,9,31,40,17,9,9,5,10,22,0
NYK,NYK @ MIA,2022-03-25,W,36,73,25,64,0.390625,11,38,0.2894736842105263,12,18,0.6666666666666666,15,14,29,16,10,5,1,19,-15,0
MIN,MIN vs. DAL,2022-03-25,W,36,89,32,59,0.5423728813559322,6,18,0.3333333333333333,19,24,0.7916666666666666,3,31,34,17,6,3,2,16,22,1
MIA,MIA vs. NYK,2022-03-25,L,36,88,30,52,0.5769230769230769,10,24,0.4166666666666667,18,21,0.8571428571428571,7,22,29,16,10,6,3,18,15,1
LAC,LAC vs. PHI,2022-03-25,L,36,71,27,66,0.4090909090909091,5,16,0.3125,12,13,0.9230769230769231,7,24,31,13,13,6,6,16,-22,1
HOU,HOU @ POR,2022-03-25,W,36,96,34,64,0.53125,15,34,0.4411764705882353,13,15,0.8666666666666667,4,23,27,22,12,9,3,14,14,0
GSW,GSW @ ATL,2022-03-25,L,36,83,32,69,0.463768115942029,11,33,0.3333333333333333,8,11,0.7272727272727273,9,24,33,21,11,4,0,17,-18,0
DET,DET vs. WAS,2022-03-25,L,36,70,27,69,0.391304347826087,3,22,0.13636363636363635,13,14,0.9285714285714286,8,27,35,13,12,5,5,15,-9,1
DAL,DAL @ MIN,2022-03-25,L,36,67,25,71,0.352112676056338,6,32,0.1875,11,13,0.8461538461538461,10,25,35,16,9,2,4,18,-22,0
CHA,CHA vs. UTA,2022-03-25,W,36,77,30,66,0.45454545454545453,11,28,0.39285714285714285,6,9,0.6666666666666666,13,25,38,18,9,3,2,13,-1,1
ATL,ATL vs. GSW,2022-03-25,W,36,101,39,70,0.5571428571428572,12,31,0.3870967741935484,11,15,0.7333333333333333,10,27,37,22,8,8,3,13,18,1
WAS,WAS @ MIL,2022-03-24,L,36,66,28,69,0.4057971014492754,6,27,0.2222222222222222,4,7,0.5714285714285714,8,24,32,18,10,7,1,13,-26,0
TOR,TOR vs. CLE,2022-03-24,W,36,83,28,66,0.42424242424242425,12,28,0.42857142857142855,15,16,0.9375,9,20,29,22,9,8,4,17,8,1
PHX,PHX @ DEN,2022-03-24,W,36,104,40,66,0.6060606060606061,10,20,0.5,14,18,0.7777777777777778,4,15,19,23,6,6,3,17,-2,0
NOP,NOP vs. CHI,2022-03-24,W,36,86,30,65,0.46153846153846156,8,22,0.36363636363636365,18,19,0.9473684210526315,9,24,33,16,10,8,0,14,1,1
MIL,MIL vs. WAS,2022-03-24,W,36,92,34,67,0.5074626865671642,14,30,0.4666666666666667,10,12,0.8333333333333334,3,32,35,19,9,4,2,13,26,1
MEM,MEM vs. IND,2022-03-24,W,36,107,40,75,0.5333333333333333,19,36,0.5277777777777778,8,9,0.8888888888888888,13,30,43,28,11,7,7,18,36,1
IND,IND @ MEM,2022-03-24,L,36,71,28,70,0.4,3,25,0.12,12,17,0.7058823529411765,8,17,25,13,9,4,8,13,-36,0
DEN,DEN vs. PHX,2022-03-24,L,36,106,38,61,0.6229508196721312,14,24,0.5833333333333334,16,22,0.7272727272727273,8,22,30,22,12,4,1,12,2,1
CLE,CLE @ TOR,2022-03-24,L,36,75,28,59,0.4745762711864407,8,23,0.34782608695652173,11,15,0.7333333333333333,7,22,29,19,12,4,2,11,-8,0
