TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
WAS,WAS @ BOS,2022-04-03,L,12,23,9,19,47.4,2,7,28.6,3,3,100.0,0,5,5,4,3,1,0,1,-17,0
TOR,TOR vs. MIA,2022-04-03,L,12,31,9,21,42.9,3,12,25.0,10,13,76.9,2,6,8,7,2,4,0,7,-4,1
SAS,SAS vs. POR,2022-04-03,W,12,31,10,20,50.0,2,4,50.0,9,14,64.3,2,10,12,7,3,4,0,4,11,1
SAC,SAC vs. GSW,2022-04-03,L,12,23,9,20,45.0,3,10,30.0,2,2,100.0,0,6,6,8,3,2,0,4,-5,1
POR,POR @ SAS,2022-04-03,L,12,20,7,21,33.3,5,17,29.4,1,2,50.0,2,8,10,5,5,1,1,9,-11,0
PHX,PHX @ OKC,2022-04-03,L,12,21,8,21,38.1,2,10,20.0,3,3,100.0,1,3,4,4,3,2,0,5,-12,0
PHI,PHI @ CLE,2022-04-03,W,12,31,11,23,47.8,0,3,0.0,9,10,90.0,5,8,13,6,2,1,1,7,3,0
ORL,ORL vs. NYK,2022-04-03,L,12,26,9,17,52.9,4,10,40.0,4,9,44.4,1,9,10,5,3,0,0,0,2,1
OKC,OKC vs. PHX,2022-04-03,W,12,33,13,24,54.2,4,8,50.0,3,5,60.0,7,12,19,10,5,1,1,5,12,1
NYK,NYK @ ORL,2022-04-03,W,12,24,10,23,43.5,4,14,28.6,0,0,0.0,2,9,11,7,1,2,0,7,-2,0
NOP,NOP @ LAC,2022-04-03,L,12,29,10,21,47.6,2,5,40.0,7,8,87.5,4,9,13,7,3,1,2,5,2,0
MIN,MIN @ HOU,2022-04-03,W,12,23,8,21,38.1,2,10,20.0,5,6,83.3,3,3,6,6,7,2,3,10,-17,0
MIL,MIL vs. DAL,2022-04-03,L,12,25,8,22,36.4,3,9,33.3,6,9,66.7,3,4,7,4,3,4,0,8,-3,1
MIA,MIA @ TOR,2022-04-03,W,12,35,13,17,76.5,6,8,75.0,3,7,42.9,0,9,9,10,4,1,1,8,4,0
LAL,LAL vs. DEN,2022-04-03,L,12,24,8,23,34.8,2,4,50.0,6,9,66.7,2,6,8,6,4,0,0,9,-10,1
LAC,LAC vs. NOP,2022-04-03,W,12,27,9,22,40.9,5,11,45.5,4,5,80.0,2,5,7,8,2,3,0,5,-2,1
IND,IND vs. DET,2022-04-03,L,12,26,10,23,43.5,1,8,12.5,5,8,62.5,8,11,19,5,7,1,3,8,3,1
HOU,HOU vs. MIN,2022-04-03,L,12,40,14,20,70.0,4,6,66.7,8,12,66.7,2,10,12,8,6,2,2,6,17,1
GSW,GSW @ SAC,2022-04-03,W,12,28,12,17,70.6,3,6,50.0,1,2,50.0,0,8,8,7,4,2,1,5,5,0
DET,DET @ IND,2022-04-03,W,12,23,9,23,39.1,2,8,25.0,3,4,75.0,2,5,7,7,3,3,0,6,-3,0
DEN,DEN @ LAL,2022-04-03,W,12,34,10,16,62.5,3,6,50.0,11,14,78.6,2,8,10,8,2,3,3,5,10,0
DAL,DAL @ MIL,2022-04-03,W,12,28,6,15,40.0,3,9,33.3,13,14,92.9,1,12,13,5,6,2,0,6,3,0
CLE,CLE vs. PHI,2022-04-03,L,12,28,7,17,41.2,4,8,50.0,10,12,83.3,2,6,8,6,2,2,2,8,-3,1
BOS,BOS vs. WAS,2022-04-03,W,12,40,15,23,65.2,9,17,52.9,1,1,100.0,2,9,11,13,2,1,1,5,17,1
UTA,UTA @ GSW,2022-04-02,L,12,20,6,21,28.6,3,11,27.3,5,8,62.5,4,13,17,1,6,0,0,7,-10,0
PHI,PHI vs. CHA,2022-04-02,W,12,41,13,24,54.2,7,13,53.8,8,9,88.9,4,5,9,8,3,2,2,7,7,1
NYK,NYK vs. CLE,2022-04-02,L,12,16,5,19,26.3,3,10,30.0,3,4,75.0,2,9,11,3,1,1,0,4,-1,1
MIA,MIA @ CHI,2022-04-02,W,12,29,8,20,40.0,5,12,41.7,8,12,66.7,1,7,8,5,1,2,0,9,-1,0
GSW,GSW vs. UTA,2022-04-02,W,12,30,9,22,40.9,6,14,42.9,6,7,85.7,0,11,11,5,0,1,2,6,10,1
CLE,CLE @ NYK,2022-04-02,W,12,17,5,15,33.3,3,12,25.0,4,5,80.0,1,10,11,4,4,1,1,6,1,0
CHI,CHI vs. MIA,2022-04-02,L,12,30,8,19,42.1,1,6,16.7,13,14,92.9,4,10,14,3,3,1,1,6,1,1
CHA,CHA @ PHI,2022-04-02,L,12,34,12,21,57.1,3,7,42.9,7,8,87.5,3,6,9,8,5,2,1,7,-7,0
BKN,BKN @ ATL,2022-04-02,L,12,28,10,21,47.6,4,9,44.4,4,5,80.0,0,10,10,5,3,1,1,8,0,0
ATL,ATL vs. BKN,2022-04-02,W,12,28,8,20,40.0,3,11,27.3,9,12,75.0,2,10,12,1,2,1,2,4,0,1
WAS,WAS vs. DAL,2022-04-01,W,12,41,15,23,65.2,5,7,71.4,6,6,100.0,2,12,14,10,2,1,2,4,16,1
